County,LEA,FY,Year,CLASSFTE,CERTFTE,Enr
Alameda,ALAMEDA COUNTY OFFICE OF ED.,1819.0,7/1/2018,260.0,153.08,179
Alameda,ALAMEDA UNIFIED,1819.0,7/1/2018,392.0,554.8,9383
Alameda,ALBANY CITY UNIFIED,1819.0,7/1/2018,124.0,186.88,3682
Alameda,BERKELEY UNIFIED,1819.0,7/1/2018,460.0,577.96,9811
Alameda,CASTRO VALLEY UNIFIED,1819.0,7/1/2018,269.0,425.97,9269
Alameda,EMERY UNIFIED,1819.0,7/1/2018,18.0,45.0,743
Alameda,FREMONT UNIFIED,1819.0,7/1/2018,1020.0,1817.54,35176
Alameda,HAYWARD UNIFIED,1819.0,7/1/2018,695.0,1080.2,19909
Alameda,LIVERMORE VALLEY JOINT UNIFIED,1819.0,7/1/2018,502.0,652.88,13738
Alameda,MOUNTAIN HOUSE ELEMENTARY,1819.0,7/1/2018,0.0,1.0,17
Alameda,NEWARK UNIFIED,1819.0,7/1/2018,186.0,217.12,5758
Alameda,NEW HAVEN UNIFIED,1819.0,7/1/2018,302.0,512.67,11281
Alameda,OAKLAND UNIFIED,1819.0,7/1/2018,2002.0,2871.55,36524
Alameda,PIEDMONT CITY UNIFIED,1819.0,7/1/2018,120.0,159.94,2596
Alameda,SAN LEANDRO UNIFIED,1819.0,7/1/2018,288.0,417.0,8926
Alameda,SAN LORENZO UNIFIED,1819.0,7/1/2018,357.0,542.64,10201
Alameda,DUBLIN UNIFIED,1819.0,7/1/2018,262.0,536.02,12090
Alameda,PLEASANTON UNIFIED,1819.0,7/1/2018,423.0,695.33,14978
Alameda,SUNOL GLEN UNIFIED,1819.0,7/1/2018,8.0,14.09,297
Alpine,ALPINE COUNTY OFFICE OF ED.,1819.0,7/1/2018,0.0,0.0,0
Alpine,ALPINE COUNTY UNIFIED,1819.0,7/1/2018,25.0,11.0,79
Amador,AMADOR COUNTY OFFICE OF ED.,1819.0,7/1/2018,67.0,28.68,152
Amador,AMADOR COUNTY UNIFIED,1819.0,7/1/2018,137.0,180.77,3962
Butte,BUTTE COUNTY OFFICE OF ED.,1819.0,7/1/2018,337.0,108.74,139
Butte,BANGOR UNION ELEMENTARY,1819.0,7/1/2018,2.0,4.49,98
Butte,BIGGS UNIFIED,1819.0,7/1/2018,37.0,34.25,624
Butte,CHICO UNIFIED,1819.0,7/1/2018,678.0,684.93,12242
Butte,DURHAM UNIFIED,1819.0,7/1/2018,42.0,54.26,1038
Butte,FEATHER FALLS UNION ELEMENTARY,1819.0,7/1/2018,5.0,1.0,10
Butte,GOLDEN FEATHER UNION ELEMENTARY,1819.0,7/1/2018,6.0,5.2,61
Butte,MANZANITA ELEMENTARY,1819.0,7/1/2018,10.0,14.0,317
Butte,OROVILLE CITY ELEMENTARY,1819.0,7/1/2018,131.0,124.9,2311
Butte,OROVILLE UNION HIGH,1819.0,7/1/2018,95.0,102.95,2196
Butte,PALERMO UNION ELEMENTARY,1819.0,7/1/2018,58.0,66.34,1296
Butte,PARADISE UNIFIED,1819.0,7/1/2018,173.0,178.5,3403
Butte,THERMALITO UNION ELEMENTARY,1819.0,7/1/2018,76.0,75.52,1554
Butte,PIONEER UNION ELEMENTARY,1819.0,7/1/2018,6.0,3.0,71
Butte,GRIDLEY UNIFIED,1819.0,7/1/2018,76.0,84.4,2083
Calaveras,CALAVERAS COUNTY OFFICE OF ED.,1819.0,7/1/2018,54.0,35.74,54
Calaveras,BRET HARTE UNION HIGH,1819.0,7/1/2018,44.0,37.56,652
Calaveras,CALAVERAS UNIFIED,1819.0,7/1/2018,158.0,133.59,2814
Calaveras,MARK TWAIN UNION ELEMENTARY,1819.0,7/1/2018,37.0,39.5,785
Calaveras,VALLECITO UNION ELEMENTARY,1819.0,7/1/2018,42.0,33.5,584
Colusa,COLUSA COUNTY OFFICE OF ED.,1819.0,7/1/2018,32.0,26.45,34
Colusa,COLUSA UNIFIED,1819.0,7/1/2018,56.0,76.7,1490
Colusa,MAXWELL UNIFIED,1819.0,7/1/2018,17.0,18.72,340
Colusa,PIERCE JOINT UNIFIED,1819.0,7/1/2018,71.0,71.5,1479
Colusa,WILLIAMS UNIFIED,1819.0,7/1/2018,47.0,66.61,1335
Contra Costa,CONTRA COSTA COUNTY OFFICE OF ED.,1819.0,7/1/2018,370.0,282.6,364
Contra Costa,ACALANES UNION HIGH,1819.0,7/1/2018,161.0,280.5,5683
Contra Costa,ANTIOCH UNIFIED,1819.0,7/1/2018,681.0,766.18,16362
Contra Costa,BRENTWOOD UNION ELEMENTARY,1819.0,7/1/2018,282.0,412.64,9181
Contra Costa,BYRON UNION ELEMENTARY,1819.0,7/1/2018,43.0,90.31,1475
Contra Costa,CANYON ELEMENTARY,1819.0,7/1/2018,2.0,2.0,68
Contra Costa,JOHN SWETT UNIFIED,1819.0,7/1/2018,58.0,72.39,1439
